"","stand","pitch_type_condensed","p_throws","avgEV","avgLA","zSwingPCT","oSwingPCT","sz_bot","sz_top"
"1","L","CB","L",78.9732255166217,7.89128481581312,0.62263067202757,0.283154121863799,1.60230052856783,3.36063428139945
"2","L","CB","R",81.8717269785231,6.16928728875827,0.571080563772403,0.281761177753544,1.5952090499121,3.35184858212948
"3","L","CH","L",80.0527597402597,1.66396103896104,0.799743260590501,0.383548983364141,1.60666308436325,3.36855991402472
"4","L","CH","R",80.6401308463252,6.59043514528013,0.752275379229872,0.325450290738902,1.6041568895554,3.3678537402964
"5","L","CT","L",80.1809428284855,13.5767301905717,0.698770491803279,0.271260086902545,1.60005203252033,3.35861788617886
"6","L","CT","R",82.6659349484674,17.2893048128342,0.695526561043802,0.283640481828477,1.60534510590422,3.36550163870273
"7","L","FF","L",82.9749901922323,23.6448451587613,0.620918712001801,0.215521064301552,1.60575381862338,3.37090624400844
"8","L","FF","R",83.6754649050372,28.5782333135274,0.685609236921886,0.225805631798313,1.60553501752915,3.36853127875421
"9","L","KN","R",75.9567567567568,9.62162162162162,0.672727272727273,0.192982456140351,1.59410714285714,3.36125
"10","L","SI","L",80.6650988032285,1.15736885928393,0.582842724978974,0.290256175663312,1.60669283706504,3.3700494329747
"11","L","SI","R",85.4317807914629,16.815538290788,0.623013660440479,0.192372453274962,1.60412224510028,3.36066308243728
"12","L","SL","L",78.4581438950082,15.0658079625293,0.67886116638604,0.30146528945472,1.60461134665859,3.3666437849115
"13","L","SL","R",82.8839525891056,14.3199899295065,0.654793644022609,0.304157131960336,1.60158721369242,3.35886131386861
"14","R","CB","L",81.5628316188414,5.94052446607191,0.578815679733111,0.29819467238985,1.58458249496982,3.35026588100029
"15","R","CB","R",80.7213405526512,5.44274809160305,0.619865481623829,0.302449888641425,1.58467597565342,3.35141271546212
"16","R","CH","L",80.0421361952217,6.88392857142857,0.752718825889558,0.341184914524338,1.59257974755011,3.36566721780861
"17","R","CH","R",82.2555185465556,2.77427147818209,0.79465776293823,0.374660409977772,1.59314907709541,3.36973311255053
"18","R","CT","L",82.7470799640611,16.1461009859576,0.696529968454259,0.305106940200786,1.59255756667024,3.36471029238513
"19","R","CT","R",81.9429734050283,17.9754503195816,0.68600154679041,0.276388341866877,1.5933243902439,3.36577463414634
"20","R","FF","L",83.0545805545806,27.9189615856867,0.6876629018245,0.251864009378664,1.59305207194461,3.36452011919309
"21","R","FF","R",84.4377457357618,29.0780871889334,0.681027512763058,0.259321892933381,1.59302205141129,3.36760509072581
"22","R","KN","R",84.764,18.4,0.681818181818182,0.212765957446809,1.58868131868132,3.38472527472527
"23","R","SI","L",85.377534732486,17.6009445100354,0.628251036562382,0.208796462292339,1.59089414616155,3.35940144370093
"24","R","SI","R",83.230903199676,6.04814291481631,0.603949645414136,0.285185954706005,1.59118667812313,3.36381556335924
"25","R","SL","L",82.9148018973214,12.6883785664579,0.681164901664145,0.347364152473642,1.58994892167991,3.35791975901511
"26","R","SL","R",80.4216964553598,14.9921246361924,0.682665128353043,0.313928720437427,1.59102980962236,3.36147427346058
